"seconds_ahp","run","seconds_it","users","speed"
"222",0.012788,"11",0.003393,3,"0-5"
"223",0.004938,"11",0.003132,3,"0-5"
"224",0.01009,"11",0.003255,3,"0-5"
"225",0.00833,"11",0.003699,3,"0-5"
"226",0.008802,"11",0.00285,3,"0-5"
"227",0.008813,"11",0.002804,3,"0-5"
"228",0.022533,"11",0.003439,3,"0-5"
"229",0.00804,"11",0.003632,3,"0-5"
"230",0.00832,"11",0.005632,3,"0-5"
"231",0.007523,"11",0.003115,3,"0-5"
"232",0.008925,"11",0.003119,3,"0-5"
"233",0.00574,"11",0.003154,3,"0-5"
"234",0.013152,"11",0.003418,3,"0-5"
"235",0.009584,"11",0.003088,3,"0-5"
"236",0.018408,"11",0.00332,3,"0-5"
"237",0.056213,"11",0.003375,3,"0-5"
"238",0.015743,"11",0.003421,3,"0-5"
"239",0.006825,"11",0.003132,3,"0-5"
"240",0.007523,"11",0.003611,3,"0-5"
"241",0.014586,"12",0.005795,3,"0-5"
"242",0.023806,"12",0.00643,3,"0-5"
"243",0.016704,"12",0.007221,3,"0-5"
"244",0.012613,"12",0.003824,3,"0-5"
"245",0.012413,"12",0.015864,3,"0-5"
"246",0.011557,"12",0.004342,3,"0-5"
"247",0.019899,"12",0.003877,3,"0-5"
"248",0.024292,"12",0.003583,3,"0-5"
"249",0.016946,"12",0.00551,3,"0-5"
"250",0.012881,"12",0.004881,3,"0-5"
"251",0.012744,"12",0.003331,3,"0-5"
"252",0.015096,"12",0.00524,3,"0-5"
"253",0.007203,"12",0.005732,3,"0-5"
"254",0.009013,"12",0.003861,3,"0-5"
"255",0.015516,"12",0.005143,3,"0-5"
"256",0.009927,"12",0.004483,3,"0-5"
"257",0.014289,"12",0.014227,3,"0-5"
"258",0.013747,"12",0.005733,3,"0-5"
"259",0.009861,"12",0.004446,3,"0-5"
"260",0.011207,"12",0.003535,3,"0-5"
"261",0.014994,"12",0.005595,3,"0-5"
"262",0.009028,"12",0.003843,3,"0-5"
"263",0.011813,"12",0.004209,3,"0-5"
"264",0.018011,"12",0.005261,3,"0-5"
"265",0.011466,"12",0.005955,3,"0-5"
"266",0.010455,"12",0.004848,3,"0-5"
"267",0.012236,"12",0.006315,3,"0-5"
"268",0.012149,"12",0.005268,3,"0-5"
"269",0.017803,"12",0.005102,3,"0-5"
"270",0.014396,"12",0.010314,3,"0-5"
"271",0.009003,"12",0.004171,3,"0-5"
"272",0.01128,"12",0.003766,3,"0-5"
"273",0.025502,"12",0.004728,3,"0-5"
"274",0.009366,"12",0.004756,3,"0-5"
"275",0.010407,"12",0.003851,3,"0-5"
"276",0.014115,"12",0.005257,3,"0-5"
"277",0.009483,"12",0.004964,3,"0-5"
"278",0.013321,"12",0.004618,3,"0-5"
"279",0.020038,"12",0.006786,3,"0-5"
"280",0.008316,"12",0.004804,3,"0-5"
"281",0.012131,"12",0.003283,3,"0-5"
"282",0.010777,"12",0.005083,3,"0-5"
"283",0.013243,"12",0.004756,3,"0-5"
"284",0.013762,"12",0.006905,3,"0-5"
"285",0.012865,"12",0.005858,3,"0-5"
"286",0.011875,"12",0.004868,3,"0-5"
"287",0.006947,"12",0.00276,3,"0-5"
"288",0.013219,"12",0.004489,3,"0-5"
"289",0.01012,"12",0.003222,3,"0-5"
"290",0.010967,"12",0.002479,3,"0-5"
"291",0.008451,"12",0.004257,3,"0-5"
"292",0.013217,"12",0.004577,3,"0-5"
"293",0.017753,"12",0.003594,3,"0-5"
"294",0.010261,"12",0.005027,3,"0-5"
"295",0.011159,"12",0.003936,3,"0-5"
"296",0.012231,"12",0.003037,3,"0-5"
"297",0.035125,"12",0.005976,3,"0-5"
