"Iteration","Dst","Src","BW","HC","PI","IU","run","method","users","speed"
"162",1,17,5,0,7,2,5.1,"11","it",30,"0"
"163",1,18,2,0.3,3,2,7.2,"11","it",30,"0"
"164",1,19,5,0.044354,2,2,5.1,"11","it",30,"0"
"165",1,20,2,0.3,1,3,7.2,"11","it",30,"0"
"166",1,21,2,0.3,1,3,7.2,"11","it",30,"0"
"167",1,22,5,0.3,1,4,5.1,"11","it",30,"0"
"168",1,23,2,0.3,3,2,7.2,"11","it",30,"0"
"169",1,24,4,0.3,5,1,3.9,"11","it",30,"0"
"170",1,25,5,0,5,2,5.1,"11","it",30,"0"
"171",1,26,2,0.3,2,3,7.2,"11","it",30,"0"
"172",1,27,5,0.3,6,2,5.1,"11","it",30,"0"
"173",1,28,5,0.3,2,2,5.1,"11","it",30,"0"
"174",1,29,5,0.3,4,2,5.1,"11","it",30,"0"
"175",1,30,5,0,1,3,5.1,"11","it",30,"0"
"176",1,31,5,0,2,2,5.1,"11","it",30,"0"
"177",1,32,5,0,3,2,5.1,"11","it",30,"0"
"178",1,33,4,0.3,2,1,3.9,"11","it",30,"0"
"179",1,34,5,0,2,2,5.1,"11","it",30,"0"
"180",1,35,5,0,1,2,5.1,"11","it",30,"0"
"181",1,6,1,0.3,4,2,9.4,"12","ahp",30,"0"
"182",1,7,2,0.3,1,2,7.2,"12","ahp",30,"0"
"183",1,8,3,0.3,2,3,4.8,"12","ahp",30,"0"
"184",1,9,1,0.3,1,4,9.4,"12","ahp",30,"0"
"185",1,10,3,0.3,2,3,4.8,"12","ahp",30,"0"
"186",1,11,1,0,1,1,9.4,"12","ahp",30,"0"
"187",1,12,1,0.3,5,1,9.4,"12","ahp",30,"0"
"188",1,13,1,0,4,3,9.4,"12","ahp",30,"0"
"189",1,14,1,0,3,1,9.4,"12","ahp",30,"0"
"190",1,15,1,0,3,3,9.4,"12","ahp",30,"0"
"191",1,16,0,0.3,2,3,5.5,"12","ahp",30,"0"
"192",1,17,1,0,3,3,9.4,"12","ahp",30,"0"
"193",1,18,0,0.3,4,2,5.5,"12","ahp",30,"0"
"194",1,19,1,0,1,3,9.4,"12","ahp",30,"0"
"195",1,20,1,0.076739,1,3,9.4,"12","ahp",30,"0"
"196",1,21,1,0,2,3,9.4,"12","ahp",30,"0"
"197",1,22,3,0.3,1,3,4.8,"12","ahp",30,"0"
"198",1,23,0,0.163158,3,2,5.5,"12","ahp",30,"0"
"199",1,24,1,0,2,3,9.4,"12","ahp",30,"0"
"200",1,25,1,0,3,1,9.4,"12","ahp",30,"0"
"201",1,26,1,0,2,1,9.4,"12","ahp",30,"0"
"202",1,27,0,0,3,2,5.5,"12","ahp",30,"0"
"203",1,28,1,0,4,1,9.4,"12","ahp",30,"0"
"204",1,29,0,0.3,1,3,5.5,"12","ahp",30,"0"
