"Iteration","Dst","Src","Score","method","scoretype"
"357",1,13,1,0.3547,"ahp","ahp"
"358",1,10,3,0.278382,"ahp","ahp"
"359",1,11,1,0.278791,"ahp","ahp"
"360",1,27,0,0.218704,"ahp","ahp"
"361",1,14,1,0.260305,"ahp","ahp"
"362",1,7,2,0.276016,"ahp","ahp"
"363",1,25,1,0.226437,"ahp","ahp"
"364",1,15,1,0.354894,"ahp","ahp"
"365",1,28,1,0.232465,"ahp","ahp"
"366",1,12,1,0.825,"ahp","it"
"367",1,9,1,1,"ahp","it"
"368",1,29,0,1,"ahp","it"
"369",1,30,0,1,"ahp","it"
"370",1,22,3,0.988,"ahp","it"
"371",1,18,0,1,"ahp","it"
"372",1,33,1,0.825,"ahp","it"
"373",1,6,1,1,"ahp","it"
"374",1,20,1,0.88837,"ahp","it"
"375",1,26,1,0.675,"ahp","it"
"376",1,34,1,0.675,"ahp","it"
"377",1,21,1,0.85,"ahp","it"
"378",1,19,1,0.85,"ahp","it"
"379",1,17,1,0.85,"ahp","it"
"380",1,31,0,0.889474,"ahp","it"
"381",1,16,0,1,"ahp","it"
"382",1,8,3,0.988,"ahp","it"
"383",1,24,1,0.85,"ahp","it"
"384",1,32,1,0.675,"ahp","it"
"385",1,23,0,0.931579,"ahp","it"
"386",1,13,1,0.85,"ahp","it"
"387",1,10,3,0.988,"ahp","it"
"388",1,11,1,0.675,"ahp","it"
"389",1,27,0,0.85,"ahp","it"
"390",1,14,1,0.675,"ahp","it"
"391",1,7,2,1,"ahp","it"
"392",1,25,1,0.675,"ahp","it"
"393",1,15,1,0.85,"ahp","it"
"394",1,28,1,0.675,"ahp","it"
"395",1,12,2,0.187247,"it","ahp"
"396",1,9,5,0.128356,"it","ahp"
"397",1,29,0,0.30489,"it","ahp"
"398",1,30,0,0.255156,"it","ahp"
"399",1,22,0,0.184939,"it","ahp"
"400",1,18,0,0.235938,"it","ahp"
"401",1,33,0,0.119383,"it","ahp"
"402",1,6,1,0.271844,"it","ahp"
"403",1,20,1,0.393345,"it","ahp"
"404",1,26,2,0.159385,"it","ahp"
"405",1,34,5,0.118783,"it","ahp"
"406",1,21,1,0.352083,"it","ahp"
"407",1,19,1,0.37696,"it","ahp"
"408",1,17,5,0.204401,"it","ahp"
"409",1,31,0,0.240286,"it","ahp"
"410",1,16,0,0.315167,"it","ahp"
"411",1,8,0,0.202203,"it","ahp"
"412",1,24,5,0.140909,"it","ahp"
"413",1,32,2,0.203463,"it","ahp"
"414",1,23,0,0.230373,"it","ahp"
"415",1,13,5,0.13264,"it","ahp"
"416",1,10,0,0.202203,"it","ahp"
