"Iteration","Dst","Src","Priority","Number","Percentage","run","method","users","speed"
"197",1,22,1,0.3,2,0.7375,"12","it",30,"0"
"198",1,23,0,0,0,0.727332,"12","it",30,"0"
"199",1,24,1,0.7,2,0.85,"12","it",30,"0"
"200",1,25,2,1,4,1,"12","it",30,"0"
"201",1,26,2,0.3,2,0.7375,"12","it",30,"0"
"202",1,27,0,1,4,1,"12","it",30,"0"
"203",1,28,2,0.3,2,0.766667,"12","it",30,"0"
"204",1,29,3,1,4,1,"12","it",30,"0"
"205",1,30,1,1,4,1,"12","it",30,"0"
"206",1,31,0,0,0,0.752922,"12","it",30,"0"
"207",1,32,2,0.3,2,0.7375,"12","it",30,"0"
"208",1,33,2,0.3,2,0.825,"12","it",30,"0"
"209",1,34,1,1,4,1,"12","it",30,"0"
"210",1,35,0,0.3,2,0.825,"12","it",30,"0"
"211",1,6,1,1,4,1,"12","ahp",30,"0"
"212",1,7,2,0.3,2,0.883333,"12","ahp",30,"0"
"213",1,8,3,0.3,2,0.9125,"12","ahp",30,"0"
"214",1,9,1,1,4,1,"12","ahp",30,"0"
"215",1,10,3,0.6,2,0.9,"12","ahp",30,"0"
"216",1,11,1,0,0,0.5875,"12","ahp",30,"0"
"217",1,12,1,0.6,2,0.92,"12","ahp",30,"0"
"218",1,13,1,0,0,0.7625,"12","ahp",30,"0"
"219",1,14,1,0,0,0.616667,"12","ahp",30,"0"
"220",1,15,1,0,0,0.7625,"12","ahp",30,"0"
"221",1,16,0,0,0,0.777825,"12","ahp",30,"0"
"222",1,17,1,0.3,1,0.844722,"12","ahp",30,"0"
"223",1,18,0,1,4,1,"12","ahp",30,"0"
"224",1,19,1,0.7,2,0.85,"12","ahp",30,"0"
"225",1,20,1,0.3,2,0.9125,"12","ahp",30,"0"
"226",1,21,1,0.7,2,0.85,"12","ahp",30,"0"
"227",1,22,3,0.1,1,0.781182,"12","ahp",30,"0"
"228",1,23,0,0,0,0.727332,"12","ahp",30,"0"
"229",1,24,1,0.7,2,0.85,"12","ahp",30,"0"
"230",1,25,1,0.7,2,0.85,"12","ahp",30,"0"
"231",1,26,1,0,0,0.676115,"12","ahp",30,"0"
"232",1,27,0,1,4,1,"12","ahp",30,"0"
"233",1,28,1,0,0,0.616667,"12","ahp",30,"0"
"234",1,29,0,1,4,1,"12","ahp",30,"0"
"235",1,30,0,0.4,2,0.919624,"12","ahp",30,"0"
"236",1,31,0,0,0,0.752922,"12","ahp",30,"0"
"237",1,32,1,0,0,0.5875,"12","ahp",30,"0"
"238",1,33,1,0.3,2,0.825,"12","ahp",30,"0"
"239",1,34,1,0.7,2,0.85,"12","ahp",30,"0"
"240",1,35,0,0.3,2,0.825,"12","ahp",30,"0"
"241",1,6,2,0.4,2,0.958645,"13","it",30,"0"
"242",1,7,2,1,4,1,"13","it",30,"0"
"243",1,8,2,1,4,1,"13","it",30,"0"
"244",1,9,1,0.3,2,0.7375,"13","it",30,"0"
"245",1,10,0,1,4,1,"13","it",30,"0"
"246",1,11,5,0.3,2,0.766667,"13","it",30,"0"
"247",1,12,1,0.1,1,0.721304,"13","it",30,"0"
"248",1,13,1,0.3,2,0.825,"13","it",30,"0"
"249",1,14,1,0.3,2,0.7375,"13","it",30,"0"
"250",1,15,1,1,4,1,"13","it",30,"0"
"251",1,16,2,0.3,2,0.825,"13","it",30,"0"
"252",1,17,1,0.2,1,0.669444,"13","it",30,"0"
"253",1,18,1,1,4,1,"13","it",30,"0"
"254",1,19,1,0.3,2,0.766667,"13","it",30,"0"
"255",1,20,0,0.2,1,0.725,"13","it",30,"0"
"256",1,21,1,0.3,2,0.7375,"13","it",30,"0"
"257",1,22,0,1,4,1,"13","it",30,"0"
"258",1,23,1,0.3,2,0.7375,"13","it",30,"0"
"259",1,24,1,0.3,2,0.825,"13","it",30,"0"
"260",1,25,0,0.4,2,0.90846,"13","it",30,"0"
"261",1,26,1,0.3,2,0.825,"13","it",30,"0"
"262",1,27,1,0.2,1,0.623214,"13","it",30,"0"
"263",1,28,2,1,4,1,"13","it",30,"0"
"264",1,29,0,0.3,2,0.883333,"13","it",30,"0"
"265",1,30,2,0.3,2,0.7375,"13","it",30,"0"
"266",1,31,0,0.3,2,0.825,"13","it",30,"0"
"267",1,32,1,1,4,1,"13","it",30,"0"
"268",1,33,5,1,4,1,"13","it",30,"0"
"269",1,34,1,0.3,2,0.825,"13","it",30,"0"
"270",1,35,1,1,4,1,"13","it",30,"0"
"271",1,6,2,0.4,2,0.958645,"13","ahp",30,"0"
"272",1,7,4,0.4,2,0.923236,"13","ahp",30,"0"
"273",1,8,1,0.6,2,0.966667,"13","ahp",30,"0"
"274",1,9,0,0.1,1,0.717624,"13","ahp",30,"0"
"275",1,10,1,0.3,2,0.825,"13","ahp",30,"0"
"276",1,11,2,0.3,2,0.766667,"13","ahp",30,"0"
"277",1,12,1,0.1,1,0.721304,"13","ahp",30,"0"
"278",1,13,1,0.3,2,0.825,"13","ahp",30,"0"
"279",1,14,1,0.3,2,0.7375,"13","ahp",30,"0"
"280",1,15,1,1,4,1,"13","ahp",30,"0"
"281",1,16,2,0.3,2,0.825,"13","ahp",30,"0"
"282",1,17,2,0.1,1,0.816452,"13","ahp",30,"0"
"283",1,18,1,1,4,1,"13","ahp",30,"0"
"284",1,19,0,0,0,0.671171,"13","ahp",30,"0"
"285",1,20,0,0.2,1,0.725,"13","ahp",30,"0"
"286",1,21,1,0.3,2,0.7375,"13","ahp",30,"0"
"287",1,22,1,0.3,2,0.825,"13","ahp",30,"0"
"288",1,23,1,0.3,2,0.7375,"13","ahp",30,"0"
"289",1,24,0,0.3,1,0.800156,"13","ahp",30,"0"
"290",1,25,0,0.4,2,0.90846,"13","ahp",30,"0"
"291",1,26,1,0.3,2,0.825,"13","ahp",30,"0"
"292",1,27,2,0,0,0.746039,"13","ahp",30,"0"
"293",1,28,2,1,4,1,"13","ahp",30,"0"
"294",1,29,0,0,0,0.733333,"13","ahp",30,"0"
"295",1,30,0,0.1,1,0.763592,"13","ahp",30,"0"
"296",1,31,1,0.3,2,0.7375,"13","ahp",30,"0"
"297",1,32,1,1,4,1,"13","ahp",30,"0"
"298",1,33,4,0.4,2,0.97107,"13","ahp",30,"0"
"299",1,34,1,0.3,2,0.825,"13","ahp",30,"0"
"300",1,35,0,0.4,2,0.999386,"13","ahp",30,"0"
"301",1,6,1,1,4,1,"14","it",30,"0"
"302",1,7,5,0.3,2,0.825,"14","it",30,"0"
"303",1,8,1,1,4,1,"14","it",30,"0"
"304",1,9,1,0.3,2,0.766667,"14","it",30,"0"
"305",1,10,1,0.4,2,0.991793,"14","it",30,"0"
"306",1,11,2,0.6,2,0.96,"14","it",30,"0"
"307",1,12,5,0.2,1,0.816667,"14","it",30,"0"
"308",1,13,5,0.3,2,0.825,"14","it",30,"0"
"309",1,14,5,0.4,2,0.907002,"14","it",30,"0"
"310",1,15,1,0,0,0.5875,"14","it",30,"0"
"311",1,16,1,1,4,1,"14","it",30,"0"
"312",1,17,5,0.4,2,0.883972,"14","it",30,"0"
"313",1,18,3,0.3,2,0.7375,"14","it",30,"0"
"314",1,19,0,1,4,1,"14","it",30,"0"
"315",1,20,1,1,4,1,"14","it",30,"0"
"316",1,21,2,0,0,0.675,"14","it",30,"0"
"317",1,22,1,0.7,2,0.853353,"14","it",30,"0"
"318",1,23,1,0.3,2,0.7375,"14","it",30,"0"
"319",1,24,1,0.2,1,0.8125,"14","it",30,"0"
"320",1,25,1,0,0,0.675,"14","it",30,"0"
"321",1,26,1,0.7,2,0.85,"14","it",30,"0"
"322",1,27,1,0.4,1,0.683333,"14","it",30,"0"
"323",1,28,1,1,4,1,"14","it",30,"0"
"324",1,29,2,0,0,0.779112,"14","it",30,"0"
"325",1,30,1,0,0,0.675,"14","it",30,"0"
"326",1,31,1,1,4,1,"14","it",30,"0"
"327",1,32,2,0.1,1,0.69236,"14","it",30,"0"
"328",1,33,2,0.6,2,0.95,"14","it",30,"0"
"329",1,34,2,0.1,1,0.697612,"14","it",30,"0"
"330",1,35,2,0.3,2,0.7375,"14","it",30,"0"
"331",1,6,1,1,4,1,"14","ahp",30,"0"
"332",1,7,2,0.3,2,0.825,"14","ahp",30,"0"
"333",1,8,1,1,4,1,"14","ahp",30,"0"
"334",1,9,1,0,0,0.616667,"14","ahp",30,"0"
"335",1,10,0,0.4,2,0.87073,"14","ahp",30,"0"
"336",1,11,0,0.4,2,0.941961,"14","ahp",30,"0"
"337",1,12,5,0.2,1,0.816667,"14","ahp",30,"0"
"338",1,13,1,0.3,2,0.825,"14","ahp",30,"0"
"339",1,14,5,0.4,2,0.907002,"14","ahp",30,"0"
"340",1,15,1,0,0,0.5875,"14","ahp",30,"0"
"341",1,16,0,0.4,2,0.899468,"14","ahp",30,"0"
"342",1,17,5,0.4,2,0.883972,"14","ahp",30,"0"
"343",1,18,1,0,0,0.629167,"14","ahp",30,"0"
"344",1,19,5,1,4,1,"14","ahp",30,"0"
