"Iteration","Dst","Src","Accuracy","Completeness","Timeliness","Reliability","run","method","users","speed"
"141",1,26,2,0.315823,0.182912,0.1,0.2625,"11","it",30,"0"
"142",1,27,4,0.333333,0.2,0.1,0.25,"11","it",30,"0"
"143",1,28,5,0.30728,0.15364,0.1,0.3,"11","it",30,"0"
"144",1,29,5,0.4,0.2,0.1,0.3,"11","it",30,"0"
"145",1,30,1,0.4,0.101399,0.050699,0.3,"11","it",30,"0"
"146",1,31,4,0.333333,0.2,0.1,0.25,"11","it",30,"0"
"147",1,32,5,0.327858,0.163929,0.1,0.3,"11","it",30,"0"
"148",1,33,5,0.203759,0.151879,0.1,0.225,"11","it",30,"0"
"149",1,34,5,0.216046,0.121783,0.08188,0.225,"11","it",30,"0"
"150",1,35,5,0.261644,0.180822,0.1,0.225,"11","it",30,"0"
"151",1,6,1,0.25,0.1,0.05,0.1875,"11","ahp",30,"0"
"152",1,7,4,0.226633,0.14665,0.1,0.25,"11","ahp",30,"0"
"153",1,8,1,0.3,0.1,0.05,0.225,"11","ahp",30,"0"
"154",1,9,1,0.25,0.1,0.05,0.1875,"11","ahp",30,"0"
"155",1,10,1,0.388901,0.094451,0.05,0.3,"11","ahp",30,"0"
"156",1,11,1,0.3,0.1,0.05,0.225,"11","ahp",30,"0"
"157",1,12,5,0.4,0.2,0.1,0.3,"11","ahp",30,"0"
"158",1,13,4,0.333333,0.2,0.1,0.25,"11","ahp",30,"0"
"159",1,14,2,0.4,0.2,0.075,0.225,"11","ahp",30,"0"
"160",1,15,1,0.266667,0.2,0.083333,0.15,"11","ahp",30,"0"
"161",1,16,5,0.361676,0.180838,0.1,0.3,"11","ahp",30,"0"
"162",1,17,1,0.4,0.1,0.025,0.225,"11","ahp",30,"0"
"163",1,18,2,0.258748,0.179374,0.1,0.225,"11","ahp",30,"0"
"164",1,19,5,0.4,0.2,0.1,0.3,"11","ahp",30,"0"
"165",1,20,2,0.4,0.2,0.1,0.3,"11","ahp",30,"0"
"166",1,21,2,0.35,0.2,0.1,0.2625,"11","ahp",30,"0"
"167",1,22,5,0.4,0.2,0.1,0.3,"11","ahp",30,"0"
"168",1,23,2,0.366571,0.183285,0.1,0.3,"11","ahp",30,"0"
"169",1,24,1,0.266667,0.1,0.00625,0.06875,"11","ahp",30,"0"
"170",1,25,4,0.321618,0.160809,0.066667,0.2,"11","ahp",30,"0"
"171",1,26,2,0.315823,0.182912,0.1,0.2625,"11","ahp",30,"0"
"172",1,27,1,0.266667,0.132642,0.066321,0.2,"11","ahp",30,"0"
"173",1,28,5,0.30728,0.15364,0.1,0.3,"11","ahp",30,"0"
"174",1,29,1,0.3,0.1,0.05,0.225,"11","ahp",30,"0"
"175",1,30,5,0.31114,0.15557,0.1,0.3,"11","ahp",30,"0"
"176",1,31,5,0.333333,0.2,0.1,0.25,"11","ahp",30,"0"
"177",1,32,4,0.297774,0.148887,0.1,0.3,"11","ahp",30,"0"
"178",1,33,1,0.291242,0.095621,0.02,0.135,"11","ahp",30,"0"
"179",1,34,5,0.216046,0.158023,0.1,0.225,"11","ahp",30,"0"
"180",1,35,5,0.261644,0.180822,0.1,0.225,"11","ahp",30,"0"
"181",1,6,1,0.4,0.2,0.1,0.3,"12","it",30,"0"
"182",1,7,2,0.333333,0.2,0.1,0.25,"12","it",30,"0"
"183",1,8,3,0.35,0.2,0.1,0.2625,"12","it",30,"0"
"184",1,9,1,0.4,0.2,0.1,0.3,"12","it",30,"0"
"185",1,10,3,0.4,0.2,0.075,0.225,"12","it",30,"0"
"186",1,11,4,0.25,0.2,0.1,0.1875,"12","it",30,"0"
"187",1,12,1,0.4,0.2,0.08,0.24,"12","it",30,"0"
"188",1,13,2,0.25,0.2,0.092857,0.166071,"12","it",30,"0"
"189",1,14,2,0.235613,0.184473,0.1,0.2,"12","it",30,"0"
"190",1,15,5,0.231366,0.165683,0.1,0.225,"12","it",30,"0"
"191",1,16,0,0.31855,0.159275,0.075,0.225,"12","it",30,"0"
"192",1,17,2,0.350496,0.175248,0.1,0.3,"12","it",30,"0"
"193",1,18,3,0.4,0.2,0.1,0.3,"12","it",30,"0"
"194",1,19,1,0.4,0.106968,0.053484,0.3,"12","it",30,"0"
"195",1,20,2,0.25,0.2,0.1,0.1875,"12","it",30,"0"
"196",1,21,1,0.4,0.2,0.1,0.3,"12","it",30,"0"
"197",1,22,1,0.25,0.2,0.1,0.1875,"12","it",30,"0"
"198",1,23,0,0.273777,0.170222,0.083333,0.2,"12","it",30,"0"
"199",1,24,1,0.4,0.1,0.05,0.3,"12","it",30,"0"
"200",1,25,2,0.4,0.2,0.1,0.3,"12","it",30,"0"
"201",1,26,2,0.25,0.2,0.1,0.1875,"12","it",30,"0"
"202",1,27,0,0.4,0.2,0.1,0.3,"12","it",30,"0"
"203",1,28,2,0.266667,0.2,0.1,0.2,"12","it",30,"0"
"204",1,29,3,0.4,0.2,0.1,0.3,"12","it",30,"0"
"205",1,30,1,0.4,0.2,0.1,0.3,"12","it",30,"0"
