"Iteration","Dst","Src","BW","HC","PI","IU","run","method","users","speed"
"167",1,22,5,0.069736,1,4,5.1,"11","it",30,"0"
"168",1,23,2,0.221224,3,2,7.2,"11","it",30,"0"
"169",1,24,5,0.289488,4,1,5.1,"11","it",30,"0"
"170",1,25,1,0,4,1,9.4,"11","it",30,"0"
"171",1,26,2,0.292333,2,3,7.2,"11","it",30,"0"
"172",1,27,4,0.255948,4,2,3.9,"11","it",30,"0"
"173",1,28,5,0.267507,2,2,5.1,"11","it",30,"0"
"174",1,29,5,0.178129,4,2,5.1,"11","it",30,"0"
"175",1,30,1,0.003835,4,1,9.4,"11","it",30,"0"
"176",1,31,4,0.225755,3,2,3.9,"11","it",30,"0"
"177",1,32,5,0.108804,3,2,5.1,"11","it",30,"0"
"178",1,33,5,0.15714,2,1,5.1,"11","it",30,"0"
"179",1,34,5,0.136315,2,2,5.1,"11","it",30,"0"
"180",1,35,5,0.061152,1,2,5.1,"11","it",30,"0"
"181",1,6,1,0.231611,4,2,9.4,"12","ahp",30,"0"
"182",1,7,2,0.087449,1,2,7.2,"12","ahp",30,"0"
"183",1,8,3,0.156452,2,3,4.8,"12","ahp",30,"0"
"184",1,9,1,0.13787,1,4,9.4,"12","ahp",30,"0"
"185",1,10,3,0.199175,2,3,4.8,"12","ahp",30,"0"
"186",1,11,1,0,1,1,9.4,"12","ahp",30,"0"
"187",1,12,1,0.254724,5,1,9.4,"12","ahp",30,"0"
"188",1,13,1,0,4,3,9.4,"12","ahp",30,"0"
"189",1,14,1,0,3,1,9.4,"12","ahp",30,"0"
"190",1,15,1,0,3,3,9.4,"12","ahp",30,"0"
"191",1,16,0,0.232259,2,3,5.5,"12","ahp",30,"0"
"192",1,17,1,0,3,3,9.4,"12","ahp",30,"0"
"193",1,18,0,0.12637,4,2,5.5,"12","ahp",30,"0"
"194",1,19,1,0,1,3,9.4,"12","ahp",30,"0"
"195",1,20,1,0.221061,1,3,9.4,"12","ahp",30,"0"
"196",1,21,1,0,2,3,9.4,"12","ahp",30,"0"
"197",1,22,3,0.018764,1,3,4.8,"12","ahp",30,"0"
"198",1,23,0,0.14763,3,2,5.5,"12","ahp",30,"0"
"199",1,24,1,0,2,3,9.4,"12","ahp",30,"0"
"200",1,25,1,0,3,1,9.4,"12","ahp",30,"0"
"201",1,26,1,0.120975,2,1,9.4,"12","ahp",30,"0"
"202",1,27,0,3.9e-05,3,2,5.5,"12","ahp",30,"0"
"203",1,28,1,0,4,1,9.4,"12","ahp",30,"0"
"204",1,29,0,0.042563,1,3,5.5,"12","ahp",30,"0"
"205",1,30,0,0.204768,2,2,5.5,"12","ahp",30,"0"
"206",1,31,0,0.252578,5,2,5.5,"12","ahp",30,"0"
"207",1,32,1,0,2,1,9.4,"12","ahp",30,"0"
"208",1,33,1,0.106562,3,1,9.4,"12","ahp",30,"0"
"209",1,34,1,0,2,1,9.4,"12","ahp",30,"0"
"210",1,35,0,0.117482,1,2,5.5,"12","ahp",30,"0"
"211",1,6,1,0.231611,4,2,9.4,"12","it",30,"0"
"212",1,7,2,0.087449,1,2,7.2,"12","it",30,"0"
"213",1,8,3,0.156452,2,3,4.8,"12","it",30,"0"
"214",1,9,1,0.13787,1,4,9.4,"12","it",30,"0"
"215",1,10,3,0.199175,2,3,4.8,"12","it",30,"0"
"216",1,11,4,0.265459,1,1,3.9,"12","it",30,"0"
"217",1,12,1,0.254724,5,1,9.4,"12","it",30,"0"
"218",1,13,2,0.109338,7,1,7.2,"12","it",30,"0"
"219",1,14,2,0.032811,5,1,7.2,"12","it",30,"0"
"220",1,15,5,0.154074,4,2,5.1,"12","it",30,"0"
"221",1,16,0,0.232259,2,3,5.5,"12","it",30,"0"
"222",1,17,2,0.192713,4,1,7.2,"12","it",30,"0"
"223",1,18,3,0.12637,6,2,4.8,"12","it",30,"0"
"224",1,19,1,0.009826,1,3,9.4,"12","it",30,"0"
"225",1,20,2,0.221061,3,1,7.2,"12","it",30,"0"
"226",1,21,1,0.062205,2,3,9.4,"12","it",30,"0"
"227",1,22,1,0.018764,4,1,9.4,"12","it",30,"0"
"228",1,23,0,0.14763,3,2,5.5,"12","it",30,"0"
"229",1,24,1,0,2,3,9.4,"12","it",30,"0"
"230",1,25,2,0.283816,1,1,7.2,"12","it",30,"0"
"231",1,26,2,0.204775,6,1,7.2,"12","it",30,"0"
"232",1,27,0,3.9e-05,3,2,5.5,"12","it",30,"0"
"233",1,28,2,0.237368,4,1,7.2,"12","it",30,"0"
"234",1,29,3,0.042563,3,2,4.8,"12","it",30,"0"
"235",1,30,1,0.204768,4,1,9.4,"12","it",30,"0"
"236",1,31,0,0.252578,5,2,5.5,"12","it",30,"0"
"237",1,32,2,0.152287,2,1,7.2,"12","it",30,"0"
