"seconds_ahp","run","seconds_it","users","speed"
"78",0.007545,"11",0.003398,30,"0"
"79",0.007285,"11",0.003869,30,"0"
"80",0.013843,"11",0.004981,30,"0"
"81",0.012824,"11",0.002841,30,"0"
"82",0.006032,"11",0.003427,30,"0"
"83",0.00646,"11",0.002491,30,"0"
"84",0.007542,"11",0.002941,30,"0"
"85",0.006116,"11",0.003042,30,"0"
"86",0.007584,"11",0.003589,30,"0"
"87",0.006583,"11",0.003237,30,"0"
"88",0.013829,"12",0.004894,30,"0"
"89",0.012987,"12",0.003602,30,"0"
"90",0.006796,"12",0.002925,30,"0"
"91",0.008947,"12",0.003911,30,"0"
"92",0.009866,"12",0.007685,30,"0"
"93",0.006876,"12",0.003269,30,"0"
"94",0.008845,"12",0.003824,30,"0"
"95",0.008367,"12",0.00276,30,"0"
"96",0.006834,"12",0.003424,30,"0"
"97",0.005044,"12",0.002295,30,"0"
"98",0.005419,"12",0.003246,30,"0"
"99",0.008031,"12",0.003019,30,"0"
"100",0.009071,"12",0.003528,30,"0"
"101",0.005581,"12",0.003153,30,"0"
"102",0.008799,"12",0.002645,30,"0"
"103",0.011582,"12",0.003961,30,"0"
"104",0.007012,"12",0.002599,30,"0"
"105",0.010271,"12",0.006183,30,"0"
"106",0.009343,"12",0.003323,30,"0"
"107",0.008473,"12",0.003326,30,"0"
"108",0.008447,"12",0.003666,30,"0"
"109",0.010572,"12",0.003597,30,"0"
"110",0.00771,"12",0.003131,30,"0"
"111",0.0067,"12",0.002948,30,"0"
"112",0.014168,"12",0.002899,30,"0"
"113",0.006601,"12",0.002363,30,"0"
"114",0.005687,"12",0.00263,30,"0"
"115",0.00656,"12",0.002584,30,"0"
"116",0.007035,"12",0.002856,30,"0"
"117",0.00777,"12",0.002706,30,"0"
"118",0.013684,"13",0.007455,30,"0"
"119",0.007808,"13",0.003991,30,"0"
"120",0.008081,"13",0.003763,30,"0"
"121",0.005981,"13",0.002384,30,"0"
"122",0.011656,"13",0.00346,30,"0"
"123",0.011796,"13",0.002416,30,"0"
